entry_id	timestamp_utc	phase	hypothesis	condition	metric_primary	primary_value	runtime_seconds	status	artifact	notes
R0085	2026-05-14T12:10:06Z	quality	baseline	pretrained_tribe_text_audio_video_sub02_s01_e01_e02	mean_1hz_baseline	0.203991	6.805000	supported_proxy	cache/ablation_results/pretrained_tribe_text_audio_video_sub-02_s01e01a_parcel_approx_v1.json	Public full TRIBE baseline arrays completed for sub-02 e01a/e01b/e02a/e02b; per-chunk local 1Hz means were 0.180738, 0.204606, 0.214998, 0.215622.
R0086	2026-05-14T12:12:00Z	quality	subject_adaptation	tribe_frozen_readout_sub02_train_e01_val_e02_1hz	delta_vs_full_average_head	0.046737	11.930704	supported_local	cache/ablation_results/tribe_frozen_readout_sub-02_train_e01_val_e02_v1.json	Sub-02 1Hz cache-building readout run was positive; used mainly to materialize v2 low-rank feature caches for native-TR scoring.
R0087	2026-05-14T12:18:00Z	quality	subject_adaptation	tribe_native_tr_subject_adaptation_sub02_episode_holdout	mean_delta_prediction_ridge_vs_full	0.041374	350.533148	supported_local_native_tr	cache/ablation_results/tribe_native_tr_subject_adaptation_sub-02_episode_holdout_s01_e01_e02_v1.json	Sub-02 native-TR episode-heldout prediction-ridge calibration beat raw public average head in both directions; low-rank mean delta was +0.040864.
R0088	2026-05-14T12:20:00Z	quality	subject_adaptation	tribe_native_tr_subject_adaptation_sub01_sub02_episode_holdout	mean_delta_prediction_ridge_vs_full	0.039185	704.161649	supported_local_native_tr	cache/ablation_results/tribe_native_tr_subject_adaptation_sub-01_sub-02_episode_holdout_s01_e01_e02_v1.json	Across sub-01 and sub-02 native-TR episode-heldout checks, prediction-ridge calibration improved raw public average head by +0.039185 and low-rank by +0.039193.
R0089	2026-05-14T12:20:00Z	quality	subject_adaptation	lowrank_vs_prediction_ridge_sub01_sub02_native_tr	mean_delta	0.000007	0	not_supported	cache/ablation_results/tribe_native_tr_subject_adaptation_sub-01_sub-02_episode_holdout_s01_e01_e02_v1.json	Across two subjects, low-rank and prediction-ridge are effectively tied; low-rank minus prediction-ridge mean is +0.000007, far below the +0.01 model-level gate.
R0090	2026-05-14T13:31:00Z	data	materialization	git_annex_get_sub03_sub05_friends_fmri_atlas	files_available	4/4	n/a	supported	research/logs/git_annex_get_sub03_sub05_friends_fmri_atlas_v1.log	Recovered prior materialization log: sub-03 and sub-05 Friends fMRI h5 plus Schaefer atlases are available for native-TR validation.
R0091	2026-05-14T13:31:00Z	quality	baseline	pretrained_tribe_text_audio_video_sub03_s01_e01_e02	mean_1hz_baseline	0.217404	7.309122	supported_proxy	cache/ablation_results/pretrained_tribe_text_audio_video_sub-03_s01e01a_parcel_approx_v1.json	Public full TRIBE baseline arrays completed for sub-03 e01a/e01b/e02a/e02b; per-chunk local 1Hz means were 0.207373, 0.218944, 0.219980, 0.223319.
R0092	2026-05-14T13:31:00Z	quality	baseline	pretrained_tribe_text_audio_video_sub05_s01_e01_e02	mean_1hz_baseline	0.181857	6.291314	supported_proxy	cache/ablation_results/pretrained_tribe_text_audio_video_sub-05_s01e01a_parcel_approx_v1.json	Public full TRIBE baseline arrays completed for sub-05 e01a/e01b/e02a/e02b; per-chunk local 1Hz means were 0.145897, 0.188007, 0.206847, 0.186675.
R0093	2026-05-14T13:31:00Z	quality	subject_adaptation	tribe_native_tr_subject_adaptation_sub03_episode_holdout	mean_delta_prediction_ridge_vs_full	0.052475	5.115397	supported_local_native_tr	cache/ablation_results/tribe_native_tr_subject_adaptation_sub-03_train_e01_val_e02_v1.json	Sub-03 native-TR episode-heldout prediction-ridge calibration beat raw public average head in both directions; low-rank mean delta was +0.052508.
R0094	2026-05-14T13:31:00Z	quality	subject_adaptation	tribe_native_tr_subject_adaptation_sub05_episode_holdout	mean_delta_prediction_ridge_vs_full	0.029219	5.338799	supported_local_native_tr	cache/ablation_results/tribe_native_tr_subject_adaptation_sub-05_train_e01_val_e02_v1.json	Sub-05 native-TR episode-heldout prediction-ridge calibration beat raw public average head in both directions; low-rank mean delta was +0.029336.
R0095	2026-05-14T13:31:00Z	quality	subject_adaptation	tribe_native_tr_subject_adaptation_sub01_sub02_sub03_sub05_episode_holdout	mean_delta_prediction_ridge_vs_full	0.040016	751.900699	supported_local_native_tr	cache/ablation_results/tribe_native_tr_subject_adaptation_sub-01_sub-02_sub-03_sub-05_episode_holdout_s01_e01_e02_v1.json	Across four subjects, prediction-ridge calibration improved raw public average head by +0.040016 and low-rank by +0.040057 under native-TR episode-heldout local scoring.
R0096	2026-05-14T13:31:00Z	quality	subject_adaptation	lowrank_vs_prediction_ridge_sub01_sub02_sub03_sub05_native_tr	mean_delta	0.000041	0	not_supported	cache/ablation_results/tribe_native_tr_subject_adaptation_sub-01_sub-02_sub-03_sub-05_episode_holdout_s01_e01_e02_v1.json	Across four subjects, low-rank and prediction-ridge remain effectively tied; low-rank minus prediction-ridge mean is +0.000041, far below the +0.01 model-level gate.
R0097	2026-05-14T13:35:00Z	quality	tests	full_research_suite_after_recovery_continuation	pytest_pass	53/53	3.34	supported	pytest_stdout	Full focused research suite passed after recovering and continuing the sub-03/sub-05 native-TR subject-adaptation scale-out; TSV schema checks also passed.
R0098	2026-05-15T01:21:06Z	quality	tests	calibrated_submission_utility_suite	pytest_pass	8/8	3.24	supported	pytest_stdout	Focused calibration/submission utility tests passed after adding prediction-ridge submission calibration; one existing neuralset warning remains.
R0099	2026-05-15T01:21:06Z	smoke	submission_harness	tribe_prediction_ridge_friends_s7_sub01_s07e01a	shape_finite	(460,1000);finite	3.310866	supported_smoke	cache/submissions/tribe_prediction_ridge_friends_s7_sub01_s07e01a_manifest_v1.json	Calibrated official-format prediction file generated from raw public TRIBE sub-01 Friends S7 s07e01a artifact; no hidden labels used and no score claim.
R0100	2026-05-15T01:23:00Z	quality	tests	full_research_suite_after_calibrated_submission	pytest_pass	55/55	3.33	supported	pytest_stdout	Full focused research suite passed after adding calibrated submission harness; TSV schema checks passed for all autoresearch ledgers.
R0101	2026-05-19T07:32:48Z	smoke	faithful_retrain	H001-S_full_modality_cold_cache	pytest_pass	blocked_budget_cold_video	1518	blocked	cache/ablation_results/tribe_faithful_retrain_H001-S_blocked_20260519T073248Z.json	Harness tests passed 11/11, but the queued full-modality cold-cache smoke was stopped before training because video feature extraction projected beyond the 1h budget ceiling.
